"subj","mod","co","standard","stim","block","mod2","stim_letter","standard_letter","ord.st","trial","stim1","stim2","stim1_let","stim2_let","incongruency","visual_real_standard","blur","resp"
1,"multi_P","internal",30,22.5,3,"multi","1--10","5--13",2,196,"22.5","30","1--10","5--13",-5,25,0.5,NA
1,"proprio","internal",30,25,3,"multi","1--10","15--25",2,197,"25","30","1--10","15--25",0,30,1,NA
1,"visual","internal",30,25,3,"uni","18--27","15--25",2,198,"25","30","18--27","15--25",0,30,0.5,NA
1,"visual","internal",30,30,3,"uni","2--6","14--24",1,199,"30","30","14--24","2--6",0,30,0.5,NA
1,"multi_cong","internal",30,40,3,"multi","18--27","12--22",2,200,"40","30","18--27","12--22",0,30,0.5,NA
1,"multi_cong","external",30,37.5,3,"multi","7--19","4--11",1,201,"30","37.5","4--11","7--19",0,30,0.5,NA
1,"proprio","external",30,30,3,"multi","7--19","5--13",2,202,"30","30","7--19","5--13",0,30,1,NA
1,"visual","external",30,20,3,"uni","2--6","12--22",2,203,"20","30","2--6","12--22",0,30,0.5,NA
1,"proprio","external",30,35,3,"multi","20--28","4--11",2,204,"35","30","20--28","4--11",0,30,1,NA
1,"multi_P","external",30,30,3,"multi","20--28","14--24",2,205,"30","30","20--28","14--24",-5,25,0.5,NA
1,"multi_V","internal",30,22.5,3,"multi","18--27","9--21",2,206,"22.5","30","18--27","9--21",5,35,0.5,NA
1,"multi_V","internal",30,40,3,"multi","1--10","12--22",2,207,"40","30","1--10","12--22",5,35,0.5,NA
1,"visual","internal",30,20,3,"uni","1--10","4--11",1,208,"30","20","4--11","1--10",0,30,0.5,NA
1,"multi_cong","internal",30,20,3,"multi","2--6","12--22",2,209,"20","30","2--6","12--22",0,30,0.5,NA
1,"multi_V","internal",30,37.5,3,"multi","3--8","5--13",2,210,"37.5","30","3--8","5--13",5,35,0.5,NA
1,"visual","external",30,37.5,4,"uni","16--23","4--11",2,211,"37.5","30","16--23","4--11",0,30,0.5,NA
1,"multi_V","external",30,25,4,"multi","3--8","9--21",2,212,"25","30","3--8","9--21",5,35,0.5,NA
1,"multi_V","external",30,40,4,"multi","2--6","4--11",2,213,"40","30","2--6","4--11",5,35,0.5,NA
1,"multi_V","external",30,37.5,4,"multi","18--27","15--25",1,214,"30","37.5","15--25","18--27",5,35,0.5,NA
1,"proprio","external",30,25,4,"multi","2--6","15--25",2,215,"25","30","2--6","15--25",0,30,1,NA
1,"multi_cong","internal",30,20,4,"multi","2--6","12--22",1,216,"30","20","12--22","2--6",0,30,0.5,NA
1,"multi_P","internal",30,22.5,4,"multi","1--10","17--26",1,217,"30","22.5","17--26","1--10",-5,25,0.5,NA
1,"multi_cong","internal",30,25,4,"multi","20--28","5--13",1,218,"30","25","5--13","20--28",0,30,0.5,NA
1,"multi_V","internal",30,30,4,"multi","7--19","15--25",2,219,"30","30","7--19","15--25",5,35,0.5,NA
1,"multi_P","internal",30,40,4,"multi","20--28","9--21",1,220,"30","40","9--21","20--28",-5,25,0.5,NA
1,"multi_cong","external",30,25,4,"multi","16--23","12--22",2,221,"25","30","16--23","12--22",0,30,0.5,NA
1,"visual","external",30,40,4,"uni","18--27","17--26",1,222,"30","40","17--26","18--27",0,30,0.5,NA
1,"visual","external",30,22.5,4,"uni","7--19","17--26",1,223,"30","22.5","17--26","7--19",0,30,0.5,NA
1,"multi_P","external",30,25,4,"multi","7--19","5--13",1,224,"30","25","5--13","7--19",-5,25,0.5,NA
1,"multi_cong","external",30,40,4,"multi","20--28","9--21",1,225,"30","40","9--21","20--28",0,30,0.5,NA
1,"proprio","internal",30,22.5,4,"multi","3--8","4--11",1,226,"30","22.5","4--11","3--8",0,30,1,NA
1,"proprio","internal",30,37.5,4,"multi","2--6","9--21",2,227,"37.5","30","2--6","9--21",0,30,1,NA
1,"multi_P","internal",30,30,4,"multi","18--27","5--13",2,228,"30","30","18--27","5--13",-5,25,0.5,NA
1,"visual","internal",30,37.5,4,"uni","20--28","14--24",2,229,"37.5","30","20--28","14--24",0,30,0.5,NA
1,"visual","internal",30,22.5,4,"uni","16--23","9--21",1,230,"30","22.5","9--21","16--23",0,30,0.5,NA
1,"proprio","external",30,40,4,"multi","1--10","9--21",1,231,"30","40","9--21","1--10",0,30,1,NA
1,"proprio","external",30,20,4,"multi","16--23","17--26",2,232,"20","30","16--23","17--26",0,30,1,NA
1,"multi_P","external",30,22.5,4,"multi","2--6","14--24",2,233,"22.5","30","2--6","14--24",-5,25,0.5,NA
1,"visual","external",30,30,4,"uni","3--8","14--24",2,234,"30","30","3--8","14--24",0,30,0.5,NA
1,"visual","external",30,20,4,"uni","2--6","4--11",1,235,"30","20","4--11","2--6",0,30,0.5,NA
1,"multi_V","internal",30,20,4,"multi","16--23","5--13",2,236,"20","30","16--23","5--13",5,35,0.5,NA
1,"proprio","internal",30,25,4,"multi","1--10","12--22",2,237,"25","30","1--10","12--22",0,30,1,NA
1,"proprio","internal",30,40,4,"multi","7--19","9--21",1,238,"30","40","9--21","7--19",0,30,1,NA
