subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
2,none,external,30,30,1,none,20--28,4--11,1,5,4--11,20--28,30,30,0,30,0.8,0,1,NA,NA,NA
2,none,external,30,25,1,none,18--27,14--24,2,7,18--27,14--24,25,30,0,30,0.8,0,1,NA,NA,NA
2,none,external,30,40,1,none,1--10,5--13,2,9,1--10,5--13,40,30,0,30,0.8,0,1,NA,NA,NA
2,none,external,30,35,1,none,16--23,15--25,2,11,16--23,15--25,35,30,0,30,0.8,0,1,NA,NA,NA
2,none,external,30,37.5,1,none,7--19,9--21,2,13,7--19,9--21,37.5,30,0,30,0.8,0,1,NA,NA,NA
2,none,internal,30,40,1,none,20--28,4--11,1,2,4--11,20--28,30,40,0,30,0.8,1,1,NA,NA,NA
2,none,internal,30,25,1,none,1--10,5--13,1,4,5--13,1--10,30,25,0,30,0.8,1,1,NA,NA,NA
2,none,internal,30,22.5,1,none,7--19,9--21,1,6,9--21,7--19,30,22.5,0,30,0.8,1,1,NA,NA,NA
2,none,internal,30,37.5,1,none,18--27,14--24,2,8,18--27,14--24,37.5,30,0,30,0.8,1,1,NA,NA,NA
2,none,internal,30,30,1,none,2--6,17--26,2,10,2--6,17--26,30,30,0,30,0.8,1,1,NA,NA,NA
2,none,internal,30,20,1,none,16--23,15--25,2,12,16--23,15--25,20,30,0,30,0.8,1,1,NA,NA,NA
2,none,internal,30,35,1,none,3--8,12--22,1,14,12--22,3--8,30,35,0,30,0.8,1,1,NA,NA,NA
2,none,external,30,30,1,none,20--28,4--11,2,1,20--28,4--11,30,30,0,30,0.8,1,1,NA,NA,NA
2,none,external,30,22.5,1,none,3--8,12--22,1,3,12--22,3--8,30,22.5,0,30,0.8,1,1,NA,NA,NA
2,none,external,30,20,1,none,2--6,17--26,2,5,2--6,17--26,20,30,0,30,0.8,1,1,NA,NA,NA
2,none,external,30,40,1,none,1--10,5--13,1,7,5--13,1--10,30,40,0,30,0.8,1,1,NA,NA,NA
2,none,external,30,35,1,none,16--23,15--25,2,9,16--23,15--25,35,30,0,30,0.8,1,1,NA,NA,NA
2,none,external,30,37.5,1,none,7--19,9--21,1,11,9--21,7--19,30,37.5,0,30,0.8,1,1,NA,NA,NA
2,none,external,30,25,1,none,18--27,14--24,2,13,18--27,14--24,25,30,0,30,0.8,1,1,NA,NA,NA
